DATE,Order_id,NEWVERTICAL_Merchant,MerchantID,User_id,GMV,Service Group
2021-01-01,8733622706,Marketplace,37,61386143,100000,marketplace
2021-01-01,8726857991,Supermarket,9,48453125,5000,supermarket
2021-01-01,8737326894,Supermarket,9,49921027,106600,supermarket
2021-01-01,8732579078,supermarket,9,46022523,270000,supermarket
2021-01-01,8725567343,CVS,8,44014594,68000,cvs
2021-01-01,8738677467,CVS,8,44014594,12000,cvs
2021-01-01,8734263912,Marketplace,24,31058664,300700,marketplace
2021-01-01,8735101008,Marketplace,24,36415344,178900,marketplace
2021-01-01,8732011182,Coffee chains and Milk tea,10,51426221,32000,Coffee chains and Milk tea
2021-01-01,8732304338,Coffee chains and Milk tea,10,51426221,32000,Coffee chains and Milk tea
2021-01-01,8728854937,Coffee chains and Milk tea,10,51426221,177000,Coffee chains and Milk tea
2021-01-01,8737762426,Airtime,30,59720332,10000,data
2021-01-01,8734291772,Airtime,41,54396095,15000,data
2021-01-01,8728588470,Airtime,30,11368352,5000,data
2021-01-01,8738189364,Airtime,30,60462106,42000,data
2021-01-01,8737896423,Airtime,43,59419546,20000,data
2021-01-01,8738153250,Cashin Bank,43,59419546,20000,data
2021-01-02,8747547067,Marketplace,37,61267321,100000,marketplace
2021-01-02,8744545475,Marketplace,37,7367023,163000,marketplace
2021-01-02,8743215061,Supermarket,9,61488523,70000,supermarket
2021-01-02,8747342564,Supermarket,9,37269379,100000,supermarket
2021-01-02,8752131006,CVS,28,44014594,38000,cvs
2021-01-02,8749152436,CVS,8,50645303,13000,cvs
2021-01-02,8746899411,CVS,8,50645303,13000,cvs
2021-01-02,8746153349,CVS,8,38871424,22000,cvs
2021-01-02,8752334174,CVS,8,43154318,132000,cvs
2021-01-02,8748305887,CVS,8,50645303,17000,cvs
2021-01-02,8742763009,Marketplace,24,46304209,57780,marketplace
2021-01-02,8747311193,Marketplace,24,39637163,31500,marketplace
2021-01-02,8740489782,Marketplace,24,56171459,1000,marketplace
2021-01-02,8748469880,Coffee chains and Milk tea,10,41525985,38000,Coffee chains and Milk tea
2021-01-02,8752393939,Airtime,43,43158729,20000,data
2021-01-02,8746604726,Airtime,41,46651900,15000,data
2021-01-02,8740999539,Airtime,41,46389874,10000,data
2021-01-02,8748797163,Airtime,41,39487179,50000,data
2021-01-02,8751094282,Airtime,41,46389874,10000,data
2021-01-02,8748935254,Cashin Bank,41,39487179,50000,data
2021-01-03,8760411814,Coffee chains and Milk tea,12,44991444,35000,Coffee chains and Milk tea
2021-01-03,8759283641,Supermarket,9,40151799,1490300,supermarket
2021-01-03,8765395712,CVS,15,37342607,10000,cvs
2021-01-03,8757468532,CVS,15,31663135,21000,cvs
2021-01-03,8753574216,Marketplace,24,56254797,9900,marketplace
2021-01-03,8753683667,Marketplace,24,56254797,9900,marketplace
2021-01-03,8756537226,Coffee chains and Milk tea,10,51426221,59000,Coffee chains and Milk tea
2021-01-03,8756126920,Coffee chains and Milk tea,10,51426221,54000,Coffee chains and Milk tea
2021-01-03,8755034104,Coffee chains and Milk tea,10,51426221,55000,Coffee chains and Milk tea
2021-01-03,8764824651,Airtime,41,23399830,30000,data
2021-01-03,8755946758,Airtime,41,60450213,10000,data
2021-01-03,8759351785,Airtime,41,61386143,10000,data
2021-01-03,8758015013,Airtime,30,30376307,10000,data
2021-01-04,8773158882,Marketplace,37,7367023,188000,marketplace
2021-01-04,8768750080,Coffee chains and Milk tea,31,49226858,25000,Coffee chains and Milk tea
2021-01-04,8768873674,Coffee chains and Milk tea,31,16736014,19000,Coffee chains and Milk tea
2021-01-04,8777409131,Supermarket,9,61488523,100000,supermarket
2021-01-04,8781142263,CVS,8,43154318,188000,cvs
2021-01-04,8768092353,CVS,8,58567717,15000,cvs
2021-01-04,8773560666,Marketplace,24,52971880,96900,marketplace
2021-01-04,8772717097,Marketplace,24,52971880,91100,marketplace
2021-01-04,8781341804,Airtime,41,44397826,15000,data
2021-01-04,8773920011,Airtime,41,47155218,15000,data
2021-01-04,8766309079,Airtime,41,61233202,10000,data
2021-01-04,8771071224,Airtime,41,61488523,10000,data
2021-01-04,8768866926,Airtime,41,61150795,10000,data
2021-01-04,8774127311,Airtime,30,50645303,2000,data
2021-01-04,8772331464,Airtime,30,46483797,3000,data
2021-01-04,8775629488,Airtime,43,58700380,7500,data
2021-01-05,8788745986,Marketplace,37,61488523,100000,marketplace
2021-01-05,8795747796,Marketplace,37,37269379,90000,marketplace
2021-01-05,8793628337,Supermarket,25,54580959,665000,supermarket
2021-01-05,8789033854,Supermarket,9,37269379,100000,supermarket
2021-01-05,8792936283,CVS,8,40212905,18000,cvs
2021-01-05,8792733541,Marketplace,24,43786782,69900,marketplace
2021-01-05,8794456396,Marketplace,24,60685919,258100,marketplace
2021-01-05,8784988396,Marketplace,24,4773597,1000,marketplace
2021-01-05,8798474735,Marketplace,24,56150575,105900,marketplace
2021-01-05,8783447543,Cashin Bank,30,45967890,14000,data
2021-01-05,8783871364,Airtime,30,45967890,14000,data
2021-01-05,8784769927,Airtime,41,40770436,15000,data
2021-01-05,8790156894,Airtime,41,47242359,10000,data
2021-01-05,8784611686,Airtime,41,59964031,15000,data
2021-01-05,8788633366,Airtime,30,46483797,1000,data
2021-01-06,8807576268,Marketplace,37,28486514,216500,marketplace
2021-01-06,8802794906,Marketplace,37,18654836,64000,marketplace
2021-01-06,8809946694,Supermarket,9,61267321,100000,supermarket
2021-01-06,8803424672,Supermarket,9,1260485,19700,supermarket
2021-01-06,8810042891,Supermarket,9,61267321,100000,supermarket
2021-01-06,8804396595,Marketplace,24,10986565,68819,marketplace
2021-01-06,8802092703,Marketplace,24,10184635,37986,marketplace
2021-01-06,8808246626,Marketplace,24,47320739,18500,marketplace
2021-01-06,8805180014,Airtime,30,60462106,28000,data
2021-01-06,8802424923,Airtime,30,41361023,84000,data
2021-01-06,8812253119,Airtime,30,37342607,10000,data
2021-01-06,8812907872,Cashin Bank,30,37342607,10000,data
2021-01-06,8798371510,Airtime,43,47964947,20000,data
2021-01-06,8799213943,Airtime,41,54396095,15000,data
2021-01-06,8812385172,Airtime,41,38899054,10000,data
2021-01-07,8831291370,CVS,8,45445106,47000,cvs
2021-01-07,8821898419,CVS,8,55516344,54000,cvs
2021-01-07,8824090122,CVS,9,57341230,16900,cvs
2021-01-07,8830421816,Marketplace,24,38654232,97700,marketplace
2021-01-07,8826013527,Airtime,30,34793842,5000,data
2021-01-07,8819845837,Cashin Bank,30,3807379,10000,data
2021-01-07,8823758728,Airtime,30,46263949,5000,data
2021-01-07,8830795348,Cashin Bank,43,49975702,60000,data
2021-01-07,8828489404,Airtime,41,54396095,30000,data
2021-01-07,8828391570,Airtime,41,54757972,15000,data
2021-01-07,8825876153,Airtime,30,44657701,42000,data
2021-01-08,8843064437,Marketplace,37,58508688,9413,marketplace
2021-01-08,8850104234,Marketplace,37,43027896,162000,marketplace
2021-01-08,8836268971,Supermarket,9,7596437,122702,supermarket
2021-01-08,8838267487,supermarket,9,46022523,32000,supermarket
2021-01-08,8841520193,CVS,28,55516344,12000,cvs
2021-01-08,8844697479,CVS,28,55516344,10000,cvs
2021-01-08,8838112113,CVS,28,59702605,125000,cvs
2021-01-08,8846184065,Marketplace,24,35516548,182500,marketplace
2021-01-08,8844878622,Marketplace,24,46442038,284200,marketplace
2021-01-08,8835379335,Marketplace,24,789774,9740,marketplace
2021-01-08,8836512543,Marketplace,24,36809356,30700,marketplace
2021-01-08,8818735118,Airtime,30,3807379,10000,data
2021-01-08,8843551770,Airtime,30,34793842,10000,data
2021-01-08,8841298702,Airtime,41,23399830,15000,data
2021-01-08,8847617228,Airtime,41,51887966,15000,data
2021-01-08,8849317534,Airtime,30,60462106,5000,data
2021-01-09,8859291470,Marketplace,37,43027896,162000,marketplace
2021-01-09,8854001286,Marketplace,37,51512727,100000,marketplace
2021-01-09,8861029013,Marketplace,37,43027896,162000,marketplace
2021-01-09,8855271753,Coffee chains and Milk tea,22,42896691,46000,Coffee chains and Milk tea
2021-01-09,8854344885,Supermarket,9,51512727,100000,supermarket
2021-01-09,8854345466,Supermarket,9,51512727,100000,supermarket
2021-01-09,8861517892,CVS,8,40162780,16000,cvs
2021-01-09,8865463624,Marketplace,24,54195651,34900,marketplace
2021-01-09,8853675756,Marketplace,24,46442038,167796,marketplace
2021-01-09,8862704725,Coffee chains and Milk tea,10,51426221,108000,Coffee chains and Milk tea
